"nombre","AGUAZUL","CHAMEZA","HATO COROZAL","LA SALINA","MANI","MONTERREY","NUNCHIA","OROCUE","PAZ DE ARIPORO (MORENO)","PORE","RECETOR","SABANALARGA","SACAMA","SAN LUIS DE PALENQUE","TAMARA","TAURAMENA","TRINIDAD","VILLANUEVA","YOPAL"
"MOV. POLITICO CIEN POR CIENTO POR COLOMBIA",2712,363,992,212,736,1639,742,1165,1671,657,224,678,259,719,668,1128,1260,3576,6107
"SOLO LISTA MOV. POLITICO CIEN POR CIENTO POR COLOMBIA",2712,363,992,212,736,1639,742,1165,1671,657,224,678,259,719,668,1128,1260,3576,6107
"JOSE RODOLFO PEREZ SUAREZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOHN EDUARDO MOLINA FIGUEREDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSCAR REINALDO GOMEZ PEÃALOZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO DE LA U",2161,95,469,3,467,317,457,425,827,132,20,132,4,545,272,523,192,807,6286
"SOLO LISTA PARTIDO DE LA U",2161,95,469,3,467,317,457,425,827,132,20,132,4,545,272,523,192,807,6286
"RODRIGO ALBERTO CHAPARRO GOMEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIGSI DIANEY PEREZ OROPEZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOSE EDUARDO VELANDIA OTALORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO LIBERAL COLOMBIANO",1436,67,840,58,722,667,420,491,4840,1297,242,109,315,679,370,2038,1193,1239,9432
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",237,20,157,11,138,135,48,166,572,192,30,16,33,91,100,336,225,196,1082
"JORGE CAMILO ABRIL TARACHE",1007,45,666,42,538,510,185,224,4130,996,204,89,275,231,256,1504,741,999,5241
"MANUEL ENRIQUE ALBARRACIN",164,0,11,4,42,10,183,95,112,102,4,4,7,353,14,177,219,25,2879
"LILIAN FERNANDA SALCEDO RESTREPO",28,2,6,1,4,12,4,6,26,7,4,0,0,4,0,21,8,19,230
"PARTIDO CAMBIO RADICAL",1382,159,239,45,498,1129,992,242,644,504,82,478,14,267,185,1485,603,560,7109
"SOLO LISTA PARTIDO CAMBIO RADICAL",310,36,74,18,101,155,160,57,150,107,19,51,5,74,60,274,173,153,1133
"CAMILO ANDRES ABRIL JAIMES",904,117,147,25,330,937,784,160,435,340,58,424,8,161,100,1126,363,388,4527
"RODRIGO ROA PINEDA",92,1,10,0,38,25,23,11,54,42,1,2,0,13,5,31,25,9,803
"IRMA PARRA GAITAN",76,5,8,2,29,12,25,14,5,15,4,1,1,19,20,54,42,10,646
"MOVIMIENTO "" MIRA """,382,4,25,0,46,114,16,53,111,25,5,11,2,14,2,79,25,180,1179
"SOLO LISTA MOVIMIENTO "" MIRA """,128,0,13,0,20,28,5,25,38,9,4,1,1,10,2,22,10,65,362
"JOSE DANIEL JURADO HERRERA",209,4,10,0,20,75,6,19,35,7,1,7,1,1,0,39,12,88,511
"DARIO ESTRADA VELANDIA",24,0,0,0,3,4,2,3,36,4,0,2,0,2,0,7,2,12,149
"SANDRA MILENA CAMARGO CUEVAS",21,0,2,0,3,7,3,6,2,5,0,1,0,1,0,11,1,15,157
"POLO DEMOCRATICO ALTERNATIVO",157,4,36,11,48,89,17,31,62,17,4,10,4,18,24,147,28,89,698
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",87,1,12,9,22,43,12,10,31,13,3,5,4,10,10,68,12,58,293
"GILBERTO ADOLFO VARGAS LAVERDE",57,2,22,1,24,41,1,15,27,4,1,3,0,4,13,55,14,23,321
"FREDDY MAURICIO CARDENAS CARDENAS",13,1,2,1,2,5,4,6,4,0,0,2,0,4,1,24,2,8,84
"PARTIDO OPCION CIUDADANA",105,11,27,1,25,27,21,18,93,27,22,2,1,13,22,57,24,41,790
"SOLO LISTA PARTIDO OPCION CIUDADANA",32,2,9,1,8,9,12,8,26,13,5,1,1,5,7,27,12,17,176
"JAIRO HUMBERTO GONZALEZ SAAVEDRA",28,1,8,0,7,13,5,6,16,7,3,1,0,3,3,18,8,16,186
"JHON KENNEDY WILCHEZ CARREÃO",27,8,10,0,8,2,0,1,43,4,14,0,0,3,9,5,3,2,270
"OSWALDO BERNAL GONZALEZ",18,0,0,0,2,3,4,3,8,3,0,0,0,2,3,7,1,6,158
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",70,4,22,0,16,13,11,65,22,9,1,2,3,4,12,15,168,21,240
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",70,4,22,0,16,13,11,65,22,9,1,2,3,4,12,15,168,21,240
"RUBIEL ELIAS VARGAS PINTO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MELQUISEDEC TEJADA JIMENEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
