"nombre","ACANDI","ALTO BAUDO (PIE DE PATO)","ATRATO (YUTO)","BAGADO","BAHIA SOLANO (MUTIS)","BAJO BAUDO (PIZARRO)","BOJAYA (BELLAVISTA)","CARMEN DEL DARIEN","CERTEGUI","CONDOTO","EL CANTON DEL SAN PABLO (MAN.","EL CARMEN","EL LITORAL DEL SAN JUAN","ISTMINA","JURADO","LLORO","MEDIO ATRATO (BETE)","MEDIO BAUDO (PUERTO MELUK)","MEDIO SAN JUAN","NOVITA","NUQUI","QUIBDO","RIO IRO","RIO QUITO (PAIMADO)","RIOSUCIO","SAN JOSE DEL PALMAR","SIPI","TADO","UNGUIA","UNION PANAMERICANA (LAS ANIMAS"
"PARTIDO DE LA U",956,982,1180,505,1289,1991,1007,271,277,867,263,522,1342,868,313,507,335,1123,416,299,905,6939,133,533,1627,512,36,1230,381,348
"SOLO LISTA PARTIDO DE LA U",157,119,67,49,261,290,81,28,43,92,77,94,74,159,43,89,15,53,46,49,66,1102,17,68,122,30,6,172,55,98
"JOSE BERNARDO FLOREZ ASPRILLA",405,606,258,235,457,1216,776,108,100,365,20,41,657,225,228,203,70,290,77,133,641,2324,13,124,855,141,8,589,29,66
"MELANIA VALOIS LOZANO",370,205,752,131,507,432,141,108,97,339,123,363,570,342,21,179,241,734,203,79,175,3045,73,316,574,303,12,351,242,152
"RAFAEL FERNANDO MONTOYA MONTOYA",24,52,103,90,64,53,9,27,37,71,43,24,41,142,21,36,9,46,90,38,23,468,30,25,76,38,10,118,55,32
"PARTIDO LIBERAL COLOMBIANO",592,1115,622,1047,1293,1030,749,277,501,1436,1067,695,275,2690,463,624,230,2096,913,924,235,4462,575,548,1344,248,179,1152,1066,600
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",89,121,45,98,250,69,118,41,32,83,323,133,55,375,39,107,15,81,108,83,36,697,36,58,158,18,7,188,112,148
"NILTON CORDOBA MANYOMA",290,835,346,677,758,860,356,153,342,1164,655,409,172,1870,324,405,172,1836,597,710,118,1773,520,296,903,163,87,618,685,331
"MARIA DE JESUS MOSQUERA RENTERIA",187,145,187,248,248,77,252,66,98,154,72,129,36,353,92,86,38,145,152,77,64,1617,15,173,253,59,81,294,227,106
"JESUS ALBERTO MOSQUERA PEREA",26,14,44,24,37,24,23,17,29,35,17,24,12,92,8,26,5,34,56,54,17,375,4,21,30,8,4,52,42,15
"PARTIDO CONSERVADOR COLOMBIANO",564,612,652,825,294,368,27,527,575,594,693,187,1359,3076,113,379,565,160,1624,916,729,4496,848,913,341,417,499,1435,678,1097
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",84,44,41,42,68,39,7,40,21,46,169,65,132,343,18,61,6,14,180,73,82,705,50,44,38,31,13,232,85,117
"EDUAR ECCEHOMO TORRES MOSQUERA",352,496,472,650,141,290,9,445,451,457,441,24,1076,2458,61,201,255,137,1304,763,572,1873,772,706,207,313,472,735,518,300
"PEDRO NEL ESCOBAR CORDOBA",65,33,60,41,29,9,1,14,23,22,16,21,41,62,14,34,21,3,19,7,37,736,6,27,29,47,3,45,30,25
"ARIEL ANTONIO QUINTO MURILLO",63,39,79,92,56,30,10,28,80,69,67,77,110,213,20,83,283,6,121,73,38,1182,20,136,67,26,11,423,45,655
"PARTIDO CAMBIO RADICAL",303,1181,505,127,204,120,53,119,608,375,87,202,68,462,11,285,397,93,321,99,277,4051,76,710,337,51,11,998,146,514
"SOLO LISTA PARTIDO CAMBIO RADICAL",48,146,45,24,34,5,7,7,19,40,20,33,8,125,6,48,12,20,24,10,34,609,9,86,63,2,1,174,26,179
"ELIZABETH KURY MORENO",130,191,125,38,14,28,19,74,65,75,20,19,13,142,2,51,82,22,125,42,49,872,55,141,130,5,4,578,31,145
"DELCIN BEJARANO PINILLA",100,812,304,51,143,64,22,36,511,235,44,135,45,168,3,169,293,45,166,45,74,2210,3,467,112,37,6,206,80,185
"HOMERO ARIEL HINESTROZA BRANCA",25,32,31,14,13,23,5,2,13,25,3,15,2,27,0,17,10,6,6,2,120,360,9,16,32,7,0,40,9,5
"MOVIMIENTO "" MIRA """,47,11,133,29,78,44,94,37,39,101,23,38,19,299,4,33,50,64,43,19,51,2028,8,28,51,11,122,95,16,65
"SOLO LISTA MOVIMIENTO "" MIRA """,9,3,6,7,25,8,19,1,2,15,8,16,2,63,2,20,10,5,5,4,12,516,4,4,10,1,3,32,2,24
"ELKIN SALAS CHAVERRA",27,3,41,14,16,7,58,27,26,25,5,14,6,33,0,8,30,24,6,3,17,1239,1,14,10,1,6,12,8,2
"MARIA NAYIVER MURILLO MURILLO",8,4,73,6,8,28,3,9,7,55,10,5,6,163,2,3,7,34,28,11,9,130,3,7,24,5,111,43,5,38
"ROSA HELENA RUIZ ECHEVERRY",3,1,13,2,29,1,14,0,4,6,0,3,5,40,0,2,3,1,4,1,13,143,0,3,7,4,2,8,1,1
