"nombre","ALBANIA","BARRANCAS","DIBULLA","DISTRACCION","EL MOLINO","FONSECA","HATONUEVO","LA JAGUA DEL PILAR","MAICAO","MANAURE","RIOHACHA","SAN JUAN DEL CESAR","URIBIA","URUMITA","VILLANUEVA"
"MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA",2525,5173,3608,1865,1485,3250,950,942,9902,3986,16624,6015,3409,1961,1568
"SOLO LISTA MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA",316,383,276,195,192,239,133,31,978,505,1607,709,296,51,159
"ANTENOR DURAN CARRILLO",2061,4619,2553,1632,1224,2803,785,882,6636,3040,12200,5031,2228,487,1303
"JORGE LUIS MEJIA HERRERA",90,79,722,20,22,156,17,4,241,322,2304,196,693,36,62
"JOSE OCTAVIANO LIÃAN MURGAS",58,92,57,18,47,52,15,25,2047,119,513,79,192,1387,44
"PARTIDO DE LA U",1157,2471,3027,1078,1795,4052,3478,676,6846,7151,14183,4150,9379,1477,2893
"SOLO LISTA PARTIDO DE LA U",246,287,349,108,182,356,529,66,1087,885,1615,438,1228,78,420
"ALFREDO RAFAEL DELUQUE ZULETA",779,1847,2559,916,1540,3358,2797,584,5211,5963,11647,3130,7555,859,2143
"ARIEL DE JESUS LOPEZ MORON",88,279,57,28,62,216,85,21,276,89,357,419,276,515,239
"PRIMERIA RAMIO BARROS PIMIENTA",44,58,62,26,11,122,67,5,272,214,564,163,320,25,91
"PARTIDO LIBERAL COLOMBIANO",1106,1571,970,571,174,1064,967,106,13205,2366,5698,835,1460,428,1383
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",177,187,139,71,8,88,125,24,1315,368,794,123,238,13,176
"MARIA LUISA RUIZ AGUILAR",616,127,70,79,62,205,158,3,3729,391,672,157,496,44,374
"JIMMY JAVIER SIERRA PALACIO",289,1227,705,413,94,744,671,78,7911,1527,4055,535,658,364,808
"ENAIMEN ENRIQUE RODRIGUEZ OJEDA",24,30,56,8,10,27,13,1,250,80,177,20,68,7,25
"PARTIDO CAMBIO RADICAL",223,417,507,82,80,980,317,33,1846,729,1961,543,503,71,410
"SOLO LISTA PARTIDO CAMBIO RADICAL",75,115,118,20,19,226,75,15,677,230,589,136,168,14,112
"JOSE CARLOS MOLINA BECERRA",103,233,268,51,44,631,185,16,777,390,889,304,235,30,200
"URIEL ENRIQUE LASTRA IBARRA",29,36,37,5,7,49,15,0,251,57,256,42,52,15,44
"LEONARDO LOPEZ VALDES",16,33,84,6,10,74,42,2,141,52,227,61,48,12,54
"PARTIDO UNION PATRIOTICA ""UP""",71,79,62,18,15,123,38,10,437,244,1279,99,225,20,66
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",18,12,21,4,2,23,10,4,85,41,201,21,45,2,18
"MIGUEL ANGEL LOPEZ HERNANDEZ",29,37,34,12,13,73,23,6,294,182,809,61,152,13,42
"ALBERTO PALMARROSA INCIARTE",24,30,7,2,0,27,5,0,58,21,269,17,28,5,6
"POLO DEMOCRATICO ALTERNATIVO",66,75,40,17,10,132,42,7,304,37,490,58,68,21,125
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",66,75,40,17,10,132,42,7,304,37,490,58,68,21,125
"FEDERMAN ENRIQUE MORENO DE LA CRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MANUEL DEL CRISTO PETRO CONDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOVIMIENTO "" MIRA """,28,26,12,2,9,31,14,4,294,100,445,52,141,26,35
"SOLO LISTA MOVIMIENTO "" MIRA """,5,4,2,1,0,9,3,2,68,24,122,6,14,3,17
"ANDRES CABALLERO VIDES",18,14,10,1,8,21,9,1,194,66,288,38,115,4,12
"DENIS LEONOR DAMIAN MURGAS",5,8,0,0,1,1,2,1,32,10,35,8,12,19,6
