"nombre","COLON","MOCOA","ORITO","PUERTO ASIS","PUERTO CAICEDO","PUERTO GUZMAN","PUERTO LEGUIZAMO","SAN FRANCISCO","SAN MIGUEL (LA DORADA)","SANTIAGO","SIBUNDOY","VALLE DEL GUAMUEZ (LA HORMIGA)","VILLAGARZON"
"PARTIDO CONSERVADOR COLOMBIANO",1275,7832,1989,5130,2041,1042,1256,1852,2027,1100,2912,2277,1758
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",42,328,186,330,97,58,171,82,111,51,131,134,178
"ORLANDO ANIBAL GUERRA DE LA ROSA",861,4053,1084,3655,797,449,598,1253,987,720,1778,1364,1116
"JORGE TOBIAS ARCINIEGAS ERAZO",337,3198,626,1055,1122,522,460,489,896,319,938,695,423
"RAUL GUILLERMO SALDARRIAGA GUZMAN",35,253,93,90,25,13,27,28,33,10,65,84,41
"PARTIDO LIBERAL COLOMBIANO",799,2045,3952,2265,1114,886,737,412,688,116,710,2142,1290
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",37,262,303,326,103,87,149,39,80,16,69,209,142
"MIGUEL ALIRIO ROSERO CISNEROS",466,291,2244,427,62,31,61,121,246,33,244,561,89
"ARGENIS VELASQUEZ RAMIREZ",263,1292,1327,1387,706,724,478,228,327,56,354,1283,1005
"FRANCO ARMANDO GUERRERO ALBAN",33,200,78,125,243,44,49,24,35,11,43,89,54
"PARTIDO DE LA U",332,1333,659,1620,180,781,498,391,498,1524,1231,1220,626
"SOLO LISTA PARTIDO DE LA U",13,77,37,170,10,31,99,15,39,44,53,77,66
"FRANKLIN LIBARDO BENAVIDES REVELO",159,113,77,137,19,43,36,192,51,1396,770,95,111
"LUIS FERNANDO OCHOA ZULUAGA",146,991,241,1217,140,694,357,160,311,62,334,836,388
"CARLOS OLMEDO JIMENEZ TORO",14,152,304,96,11,13,6,24,97,22,74,212,61
"MOVIMIENTO "" MIRA """,43,4080,327,655,117,296,405,51,208,33,231,379,1842
"SOLO LISTA MOVIMIENTO "" MIRA """,7,387,76,133,21,33,131,7,37,2,25,84,244
"WILLIAM PIPI RAMIREZ",29,3443,43,84,77,234,38,38,101,29,166,53,1458
"DARIENZO ALCID ALVAREZ PAZ",6,213,178,413,15,27,227,4,21,2,33,79,113
"CLARISA FIGUEROA MELGUIZO",1,37,30,25,4,2,9,2,49,0,7,163,27
"PARTIDO ALIANZA VERDE",5,84,213,264,23,17,37,18,76,4,65,395,36
"SOLO LISTA PARTIDO ALIANZA VERDE",1,26,75,60,5,3,18,3,22,2,14,87,11
"MILLER ERVEY VELASCO PIAMBA",3,33,86,110,5,4,10,14,37,2,25,237,11
"NELSON GONZALEZ MARIN",1,21,30,39,10,9,7,1,11,0,15,59,7
"VICTOR HUGO DIAZ ORREGO",0,4,22,55,3,1,2,0,6,0,11,12,7
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",0,31,23,12,6,11,4,1,1,3,14,8,4
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",0,31,23,12,6,11,4,1,1,3,14,8,4
"SANDRA JAQUELINE CASANOVA TAPIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"ISAIAS ARIAS ARAGON",0,0,0,0,0,0,0,0,0,0,0,0,0
"JONATHAN GARCIA MENDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
