"nombre","ARMENIA","BUENAVISTA","CALARCA","CIRCASIA","CORDOBA","FILANDIA","GENOVA","LA TEBAIDA","MONTENEGRO","PIJAO","QUIMBAYA","SALENTO"
"PARTIDO CAMBIO RADICAL",27384,841,6615,3194,1469,1357,1926,3878,4379,961,5627,1590
"SOLO LISTA PARTIDO CAMBIO RADICAL",2409,42,644,291,80,96,117,384,488,61,430,84
"ATILANO ALONSO GIRALDO ARBOLEDA",9295,508,3037,1687,893,492,1076,2157,1290,515,2841,120
"ANTONIO RESTREPO SALAZAR",8512,89,1546,289,114,157,180,605,1670,134,1668,34
"JORGE RICARDO PARRA SEPULVEDA",7168,202,1388,927,382,612,553,732,931,251,688,1352
"PARTIDO LIBERAL COLOMBIANO",23782,50,3776,3754,284,1225,464,1779,3074,274,2733,256
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",1971,5,426,329,23,96,43,186,327,33,277,25
"LUCIANO GRISALES LONDOÃO",14523,22,1668,947,78,669,119,1073,2038,157,1923,49
"YOLANDA DUQUE NARANJO",3692,12,1158,2396,70,388,278,380,482,66,383,176
"JOSE MANUEL RIOS MORALES",3596,11,524,82,113,72,24,140,227,18,150,6
"PARTIDO DE LA U",12469,221,3638,821,235,601,211,2521,1797,830,2534,373
"SOLO LISTA PARTIDO DE LA U",1774,19,553,156,22,94,50,349,305,79,264,40
"LIBARDO ANTONIO TABORDA CASTRO",8041,189,2588,584,187,432,142,1996,1168,724,1094,292
"WILLIAM ALBERTO RUIZ DUQUE",1535,8,216,41,8,57,14,91,106,22,1017,33
"ANA MILENA JARAMILLO HENAO",1119,5,281,40,18,18,5,85,218,5,159,8
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",10342,47,3505,805,77,474,174,1113,1892,212,797,174
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",10342,47,3505,805,77,474,174,1113,1892,212,797,174
"JOSE ROBERTO GARAY GIRALDO",0,0,0,0,0,0,0,0,0,0,0,0
"JOSE JESUS DOMINGUEZ GIRALDO",0,0,0,0,0,0,0,0,0,0,0,0
"LUZ PATRICIA HURTADO ALZATE",0,0,0,0,0,0,0,0,0,0,0,0
"MOVIMIENTO "" MIRA """,7204,17,2942,874,51,248,171,1253,1484,84,882,105
"SOLO LISTA MOVIMIENTO "" MIRA """,1466,1,471,146,12,54,28,257,289,13,358,16
"AYDEE LIZARAZO CUBILLOS",3413,8,280,229,8,25,118,244,333,25,168,27
"GABRIEL ALEXANDER BELTRAN LEGUIZAMON",1193,7,1876,81,6,23,14,93,301,8,96,40
"MARTHA LILIANA AGUDELO VALENCIA",1132,1,315,418,25,146,11,659,561,38,260,22
"PARTIDO CONSERVADOR COLOMBIANO",2571,65,563,406,40,161,164,163,245,117,277,66
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",478,8,116,82,5,36,29,27,64,20,44,9
"DANIEL ALEJANDRO CEBALLOS DEL FRESNO",803,30,243,216,21,48,60,70,60,52,117,10
"ANGELA MARIA MARIN VALENCIA",651,8,77,32,2,19,20,30,59,19,74,3
"JULIAN SERNA GIRALDO",639,19,127,76,12,58,55,36,62,26,42,44
"POLO DEMOCRATICO ALTERNATIVO",2117,23,490,119,26,102,83,245,244,41,106,29
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",597,4,128,46,9,30,7,75,64,14,41,11
"DIMAS ALBERTO ARIAS LASSO",985,15,278,50,14,56,59,134,101,18,39,11
"GLORIA INES DIAZ RICAURTE",317,2,40,16,3,12,12,15,49,5,13,2
"EDGAR MARTINEZ CASTILLO",218,2,44,7,0,4,5,21,30,4,13,5
"PARTIDO ALIANZA VERDE",1939,10,341,90,15,35,22,165,186,42,113,34
"SOLO LISTA PARTIDO ALIANZA VERDE",520,4,110,28,7,10,8,51,52,9,44,16
"GONZALO OSORIO TORO",662,4,125,27,5,13,7,52,37,20,40,8
"JHONATAN OBANDO RAMIREZ",412,2,57,18,3,5,4,27,66,8,13,2
"ANCIZAR RUIZ CEBALLOS",345,0,49,17,0,7,3,35,31,5,16,8
"MOVIMIENTO BLANCO POR LA PAZ",352,0,68,17,7,15,9,24,55,5,31,9
"SOLO LISTA MOVIMIENTO BLANCO POR LA PAZ",113,0,16,2,3,4,2,6,22,2,15,3
"RENE ANTONIO FLOREZ CASTELLANOS",173,0,20,8,3,8,5,14,16,2,9,3
"MARIA NELLY VASQUEZ CASTAÃO",66,0,32,7,1,3,2,4,17,1,7,3
