"nombre","APIA","BALBOA","BELEN DE UMBRIA","DOSQUEBRADAS","GUATICA","LA CELIA","LA VIRGINIA","MARSELLA","MISTRATO","PEREIRA","PUEBLO RICO","QUINCHIA","SANTA ROSA DE CABAL","SANTUARIO"
"PARTIDO CONSERVADOR COLOMBIANO",1190,149,2794,12724,1326,637,2786,1837,1174,19702,1177,515,7782,1117
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",90,12,310,1013,140,80,208,208,80,1793,128,62,646,107
"JUAN CARLOS RIVERA PEÃA",429,17,161,6046,317,118,887,240,403,4844,287,27,2217,522
"DIEGO ALBERTO NARANJO ESCOBAR",285,62,1603,1432,473,290,938,725,272,3557,194,82,1592,123
"CESAR AUGUSTO FRANCO ARBELAEZ",221,3,54,422,57,12,246,108,19,1056,48,41,2121,33
"MAURICIO SALAZAR PELAEZ",165,55,666,3811,339,137,507,556,400,8452,520,303,1206,332
"PARTIDO LIBERAL COLOMBIANO",1118,751,1020,5861,383,260,2812,1151,220,19016,412,1964,2464,390
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",71,97,124,736,43,23,238,139,26,1842,71,318,304,35
"DIEGO PATIÃO AMARILES",832,607,640,3738,174,118,1408,719,113,11602,227,1388,1542,264
"HERMAN DE JESUS CALVO PULGARIN",126,27,194,355,115,69,958,242,18,1525,85,171,250,30
"ALBERTO DE JESUS ARIAS DAVILA",49,9,19,383,6,7,90,17,3,1533,4,38,132,11
"MONICA PATRICIA BOTERO MONTOYA",40,11,43,649,45,43,118,34,60,2514,25,49,236,50
"PARTIDO DE LA U",472,324,887,7002,981,509,1499,667,890,32094,389,1382,3093,982
"SOLO LISTA PARTIDO DE LA U",79,59,149,836,105,67,173,78,82,3454,50,179,398,120
"DIDIER BURGOS RAMIREZ",245,53,361,2561,227,360,503,302,500,12852,193,442,1716,395
"ISRAEL ALBERTO LONDOÃO LONDOÃO",119,144,175,1504,470,65,721,128,282,11469,134,613,732,405
"MARTHA ELENA BEDOYA RENDON",16,5,9,450,23,7,56,8,10,2812,8,78,133,21
"LUIS ENRIQUE SALDARRIAGA LONDOÃO",13,63,193,1651,156,10,46,151,16,1507,4,70,114,41
"CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",427,243,690,6222,517,362,838,799,268,16609,174,366,2669,539
"SOLO LISTA CENTRO DEMOCRÃTICO MANO FIRME CORAZÃN GRANDE",427,243,690,6222,517,362,838,799,268,16609,174,366,2669,539
"ALEJANDRO ALVAREZ ANGEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUIS ALFONSO CASTAÃO RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARLOS ARIEL JIMENEZ AVELLANEDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARTIDO CAMBIO RADICAL",373,434,1014,7200,565,387,1206,894,553,13155,395,1559,2189,689
"SOLO LISTA PARTIDO CAMBIO RADICAL",35,34,97,711,62,46,137,123,28,1649,53,166,285,66
"JUAN CARLOS RIOS CORREA",289,378,819,4503,459,293,892,681,474,8210,295,1325,1479,587
"JORGE HERNAN ALZATE GOMEZ",28,12,53,405,13,38,85,17,29,843,18,36,122,15
"PAOLA ANDREA NIETO LONDOÃO",15,6,25,1375,27,5,69,52,20,1982,24,9,217,17
"MARTIN RAMIREZ MARIN",6,4,20,206,4,5,23,21,2,471,5,23,86,4
"MOVIMIENTO "" MIRA """,76,34,470,5848,132,74,1399,325,80,11551,58,141,1319,183
"SOLO LISTA MOVIMIENTO "" MIRA """,15,5,119,1000,36,23,197,42,17,2012,17,26,275,34
"FAUNIER ANTONIO VILLADA BETANCOURT",31,14,13,149,3,8,999,5,2,429,11,5,49,95
"MARTHA CECILIA ALZATE ALZATE",18,12,46,738,76,33,108,64,9,7268,18,98,140,30
"GERMAN EDUARDO LONDOÃO LOPEZ",7,2,258,3778,6,4,41,19,43,1449,9,6,107,17
"HECTOR JAIME CANO SOTO",5,1,34,183,11,6,54,195,9,393,3,6,748,7
"POLO DEMOCRATICO ALTERNATIVO",47,50,308,1628,77,31,365,67,87,5455,39,1454,655,104
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",10,13,73,376,23,5,82,20,22,1191,11,233,132,33
"LUZ ADRIANA GONZALEZ CORREA",20,19,105,693,17,15,94,32,40,2804,5,235,216,49
"ANTONIO DE JESUS GUEVARA BETANCUR",9,8,68,122,25,5,22,8,8,420,4,956,173,6
"DARIO MONTAÃEZ GOMEZ",5,9,36,199,9,5,141,5,15,558,3,21,71,11
"CARLOS MARIO MARIN OSSA",3,1,26,238,3,1,26,2,2,482,16,9,63,5
"PARTIDO ALIANZA VERDE",18,10,51,1032,51,21,115,55,21,2168,24,59,430,36
"SOLO LISTA PARTIDO ALIANZA VERDE",11,2,31,324,18,5,55,27,6,845,9,29,201,18
"JOSE SILVIO MESA IDARRAGA",4,6,17,550,18,8,26,24,10,890,6,14,145,11
"FRANCISCO ELIDER VALENCIA VALENCIA",3,2,3,158,15,8,34,4,5,433,9,16,84,7
