"nombre","CUMARIBO","LA PRIMAVERA","PUERTO CARREÃO","SANTA ROSALIA"
"PARTIDO DE LA U",3443,979,1626,854
"SOLO LISTA PARTIDO DE LA U",110,29,124,18
"JAVIER ALEXANDER SANCHEZ REYES",2106,34,103,12
"NERY OROS ORTIZ",921,754,1168,551
"VELMAR ALFONSO GARCIA RODRIGUEZ",306,162,231,273
"PARTIDO LIBERAL COLOMBIANO",1087,1609,2344,500
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",52,57,222,23
"MARCO SERGIO RODRIGUEZ MERCHAN",626,719,856,309
"PEDRO PABLO PEREZ PUERTA",238,343,585,77
"CESAR AUGUSTO MESA JIMENEZ",171,490,681,91
"PARTIDO ALIANZA VERDE",528,88,337,33
"SOLO LISTA PARTIDO ALIANZA VERDE",28,6,42,3
"LUISA ANTONIA PINZON FORERO",298,10,35,6
"CLAUDIA MARIA CEPEDA URRUTIA",148,68,66,24
"GELNI GUTIERREZ RINCON",54,4,194,0
"PARTIDO CAMBIO RADICAL",355,1483,741,281
"SOLO LISTA PARTIDO CAMBIO RADICAL",17,97,78,9
"JOSE DUMAR HERNANDEZ ROMERO",270,19,34,7
"JORGE JULIAN SILVA MECHE",49,1257,442,105
"OSCAR HUMBERTO HENAO MARTINEZ",19,110,187,160
"MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA",171,16,74,23
"SOLO LISTA MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA",14,2,9,1
"ANTONIO SOSA ESCOBAR",133,1,8,0
"LUIS ARTURO PULIDO LEON",13,1,3,2
"ARNOLDO MARTHA REUTO",11,12,54,20
"PARTIDO OPCION CIUDADANA",157,14,1101,1
"SOLO LISTA PARTIDO OPCION CIUDADANA",157,14,1101,1
"WILLIAM HENRY RIVERA ESCOBAR",0,0,0,0
"JUAN MANUEL MORA CASTILLO",0,0,0,0
"DIEGO QUINTERO",0,0,0,0
"PARTIDO CONSERVADOR COLOMBIANO",16,12,30,1
"SOLO LISTA PARTIDO CONSERVADOR COLOMBIANO",4,5,5,1
"MERARDO HERRERA FRANCO",4,0,7,0
"MARIA DEL CARMEN RIVEROS SUCRE",4,1,6,0
"LUIS FERNANDO ARROYAVE SIERRA",4,6,12,0
