"PARTIDO","CURUL","AMAZONAS","ANTIOQUIA","ARAUCA","ATLÁNTICO","BOGOTÁ D.C.","BOLÍVAR","BOYACÁ","CALDAS","CAQUETÁ","CASANARE","CAUCA","CESAR","CHOCÓ","CÓRDOBA","CUNDINAMARCA","GUAINÍA","GUAVIARE","HUILA","LA GUAJIRA","MAGDALENA","META","NARIÑO","NORTE DE SANTANDER","PUTUMAYO","QUINDÍO","RISARALDA","SAN ANDRÉS Y PROVIDENCIA","SANTANDER","SUCRE","TOLIMA","VALLE DEL CAUCA","VAUPÉS","VICHADA","CONSULADOS"
"CAMBIO RADICAL",9,1201,60022,3922,123370,134166,85984,19531,10270,3772,5947,17098,31684,8648,14118,65365,783,336,4463,44461,57913,9654,16936,16082,1476,35876,12798,1555,51700,34148,37379,82219,591,1211,2193
"CENTRO DEMOCRÁTICO",19,3629,436896,18934,42326,373798,48136,49680,67630,21509,31736,25706,36348,4679,42973,133349,1807,5074,73398,9513,27867,66198,26759,58203,6147,37835,54231,2751,90870,22503,82360,127770,573,4272,10104
"PARTIDO CONSERVADOR",19,714,268174,3129,256433,86728,95406,74440,55104,9228,3088,31503,28034,20538,132953,76505,646,2124,62343,31271,63074,10452,134202,96742,14112,11206,45726,1264,52685,51001,67956,152459,466,821,3757
"PARTIDO DE LA U",21,1947,160104,10160,194980,164221,140342,34743,73468,7093,10419,45188,92945,26923,274603,107697,767,5645,37354,60578,109817,107183,55129,76154,4756,21256,45468,1256,33086,82455,52189,181852,856,3493,6081
"PARTIDO LIBERAL",17,1705,177024,9280,64795,205214,77619,46954,38894,8594,6701,83142,25563,16287,70581,74463,769,2461,52251,16001,51405,17426,113272,85513,24432,33343,31625,3292,149942,44035,63448,147279,718,1226,3535
"MIRA",0,255,23972,2023,5896,69218,5496,6410,12004,10276,1933,14414,2554,2439,4823,17750,30,913,9588,728,4560,7216,6390,4105,6009,13369,17622,177,9676,1166,13280,42041,30,115,10465
"POLO DEMOCRÁTICO",5,1029,68666,2005,19571,145959,16474,19109,13615,9800,2165,11248,8871,1033,5886,21609,150,444,11205,2766,7835,9159,14827,14356,1894,4979,13361,224,31265,6392,14705,57454,197,291,2601
"PARTIDO OPCIÓN CIUDADANA",5,811,12557,779,13335,27389,48476,13199,4427,906,1467,4958,7539,3605,15346,14638,840,642,2604,2780,18115,5309,7822,11712,929,7121,5244,234,126744,96430,5239,64582,285,633,427
"PARTIDO VERDE",5,3231,39507,4053,13943,145572,9708,30833,6378,3606,28384,14633,23524,3677,6829,19403,586,1800,5850,9046,8811,5206,35643,24034,3289,5077,7841,261,19755,3717,10328,66205,237,723,2973
"VOTO EN BLANCO",0,849,101095,2812,25807,180770,11790,39474,17932,3700,5379,17535,6756,1961,8557,57445,430,866,18051,2525,8373,15294,18711,19339,3359,12306,23076,923,47818,4839,20069,66498,238,584,1498
